squareMeters,numberOfRooms,hasYard,hasPool,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,garage,hasStorageRoom,price
48062,22,0,1,1,10,2008,1,0,7908,817,1,4809993.8
5767,97,1,1,7,3,1998,1,0,2516,307,1,586742.8
59800,47,0,1,6,9,2021,0,0,5075,864,0,5984462.1
54836,25,0,1,10,5,2020,1,0,5278,313,1,5492532.0
54318,10,1,1,4,2,1998,1,1,9580,227,1,5444967.8
70021,52,1,0,4,6,1992,0,1,4480,680,1,7005572.2
54368,11,1,1,3,7,2021,0,0,231,223,0,5446398.1
31421,29,0,1,5,3,1999,1,1,8949,630,0,3147829.9
63053,6,1,1,3,1,1997,0,1,8414,939,1,6315375.7
4187,89,0,1,1,6,1994,1,0,186,559,1,421906.4
33108,82,0,1,6,10,2016,1,0,6250,552,1,3316069.6
64393,8,0,0,4,1,1990,1,0,3835,559,0,6441378.0
93876,60,0,1,2,1,1999,1,1,4086,494,1,9390891.9
67040,60,1,1,4,8,1993,1,0,4817,927,0,6714247.3
47938,17,0,0,7,1,2013,0,1,327,352,1,4797883.3
39090,57,1,0,4,9,2010,0,0,3572,811,1,3917691.0
43609,66,0,0,4,9,2005,0,1,3388,120,1,4364910.5
41998,74,1,0,6,1,1990,1,0,6838,828,0,4203344.0
36496,9,0,1,5,1,2017,0,1,2768,230,1,3656368.7
84016,15,1,0,1,7,2016,1,0,3284,641,0,8410054.6
3087,27,1,1,3,10,2005,1,1,5866,199,1,321717.5
89768,48,1,1,6,9,1993,0,1,2485,864,0,8980518.3
30226,74,1,1,10,9,2007,0,0,515,223,0,3039243.7
58478,5,0,1,6,10,2016,0,0,8366,979,1,5853710.6
66621,48,0,0,10,1,1995,1,1,5024,388,1,6666403.5
73314,43,0,1,10,1,2018,0,1,3281,968,0,7336538.8
59972,28,0,1,9,8,2021,1,1,8384,226,1,6000826.1
71591,20,1,0,7,4,1998,0,0,6486,366,0,7165980.8
92462,52,1,1,9,6,2019,1,0,9584,677,0,9257840.9
52325,60,1,1,6,5,1992,1,0,8987,808,1,5238533.2
67311,67,0,0,3,3,1990,1,1,6928,774,1,6732249.0
45050,99,0,1,4,8,2013,1,0,5218,144,0,4508695.3
61534,73,1,0,9,5,2001,0,0,9265,755,1,6159875.1
84091,50,0,1,7,5,1993,0,0,2668,766,0,8414104.3
77579,69,1,1,6,1,1999,1,0,4850,144,1,7767797.9
25204,31,1,1,4,10,2020,1,0,6560,116,0,2530488.0
42059,46,0,1,6,3,2017,1,1,8827,860,1,4212125.7
38430,43,0,1,6,4,2021,0,1,1214,289,0,3846214.1
7069,4,0,0,9,2,2009,1,1,7499,493,1,709107.9
34780,75,0,1,4,5,2019,0,1,3033,800,1,3480536.9
12757,100,1,0,7,8,2020,1,1,6795,738,0,1277834.0
33749,74,0,1,10,7,1999,1,1,1729,616,1,3380855.9
600,37,1,0,4,7,2011,1,0,6738,866,0,63402.1
7239,61,1,0,4,7,1994,1,0,7782,986,0,733776.4
34919,20,1,1,5,1,1997,0,0,6566,408,0,3499532.7
25614,29,0,0,4,1,1994,1,0,700,519,1,2563970.4
51434,64,0,0,10,2,2012,1,1,2080,753,0,5146226.2
78960,55,0,1,8,4,2015,1,1,7126,974,1,7900996.5
70751,64,1,1,1,9,2006,1,0,1506,794,1,7084110.6
81870,60,0,1,3,8,2020,0,0,3632,723,1,8198185.0
91559,36,0,1,6,2,2007,0,1,788,132,1,9161130.7
72098,9,0,1,2,3,2014,1,0,9080,740,1,7216904.4
23177,19,0,0,4,1,2003,0,0,2706,648,1,2318776.3
39517,92,0,0,4,6,2019,0,1,7618,810,1,3953491.9
55232,23,0,0,8,3,1991,0,0,1492,625,0,5524015.1
53735,49,0,1,4,7,2006,0,0,8654,290,1,5384554.6
67753,72,1,1,3,9,1995,1,1,7480,929,0,6789580.5
1450,59,0,0,10,9,2018,1,1,1285,869,1,146181.8
82141,93,1,1,3,7,2019,1,1,8785,968,1,8225970.9
17868,73,1,0,4,9,2013,0,0,1718,710,1,1792308.3
71397,71,0,0,3,10,1995,1,1,3477,342,0,7145471.5
32623,35,0,1,10,6,2003,1,0,4633,126,0,3267852.3
23841,71,1,1,3,7,2010,1,1,7590,564,1,2390804.0
16495,94,0,0,3,10,1991,1,1,2214,929,1,1650711.1
39109,24,1,0,4,3,2002,1,0,1642,139,0,3917652.2
65151,81,1,1,7,9,1991,0,0,3218,849,0,6522781.1
61484,91,1,0,8,8,2013,1,0,5486,766,0,6154833.3
57160,15,1,1,8,8,2002,0,0,4018,836,1,5724102.2
13346,57,0,0,6,8,2021,1,1,2525,809,0,1336414.1
27351,77,0,0,4,1,1997,1,1,1150,812,1,2738851.7
18466,50,0,1,5,2,2020,0,0,2475,568,0,1849227.0
45441,29,1,0,3,5,2004,0,1,8121,853,0,4552319.4
55933,15,0,0,9,8,2001,1,1,7369,686,1,5599976.1
81936,68,0,0,3,1,2011,1,0,6393,734,0,8198107.1
18237,70,1,0,9,6,2011,0,0,7173,498,1,1833338.1
35631,54,1,0,10,6,2018,1,1,216,775,1,3568002.8
99683,12,1,0,5,8,2002,0,1,4034,787,1,9977000.2
47664,44,0,0,6,3,2010,1,1,2662,417,0,4770073.0
62887,45,0,1,4,3,1993,1,0,292,675,0,6293710.3
18470,20,1,1,3,1,2000,1,0,4089,905,1,1852115.0
36031,63,1,0,9,8,2001,0,1,9701,514,0,3612495.1
22776,84,0,0,9,9,1993,0,1,2422,544,1,2278599.3
14830,81,1,0,1,10,1992,1,0,6151,243,0,1487488.2
43944,40,1,0,10,5,2012,0,1,7466,735,1,4403326.2
73062,34,1,1,4,8,2016,0,0,9823,728,1,7313447.6
84284,76,0,0,5,1,1998,0,0,4500,480,0,8432554.8
9619,66,1,0,9,5,1991,0,1,1069,927,0,969806.1
11410,96,0,1,8,3,2019,0,1,1466,933,1,1150663.9
29855,63,0,0,5,5,2000,0,1,3861,204,0,2987645.0
46716,94,0,0,8,5,2008,0,1,1361,409,0,4674140.8
77046,69,1,0,4,2,1992,0,1,8135,648,0,7714235.2
58855,1,0,0,3,7,2004,0,1,2267,531,0,5892518.4
69165,66,1,0,4,4,2009,1,1,1543,939,1,6926290.9
57915,25,0,1,10,4,2007,1,1,3394,640,0,5800324.7
66279,47,1,0,3,2,2003,0,1,5079,128,0,6631365.3
16068,21,1,0,8,8,1991,1,1,8893,463,0,1611707.1
74325,50,1,1,8,10,1994,0,1,4008,275,0,7443433.4
35742,46,1,1,7,1,2014,1,1,1732,243,0,3581003.4
9026,51,1,0,1,5,2000,1,0,779,482,0,904797.0
16899,19,0,1,2,4,2020,0,1,5710,302,1,1693690.0
99854,82,0,0,3,8,2009,0,1,4827,918,0,9989598.9
33743,56,1,1,10,8,2006,0,1,7330,345,0,3382812.6
72798,22,1,1,9,3,2007,0,0,2209,637,0,7290431.7
86492,21,0,0,3,7,1992,1,0,7843,463,0,8654049.2
38937,35,0,1,2,6,2013,1,1,1312,794,0,3901433.3
24762,22,0,1,10,10,1999,1,1,5264,502,1,2480900.9
91047,45,0,0,8,2,1999,0,0,7241,757,1,9109264.9
55527,64,0,1,4,2,2005,0,1,9385,786,1,5557814.5
70606,17,1,1,7,3,2017,1,0,4927,197,0,7070662.7
67327,47,0,0,9,3,1990,0,1,1097,964,0,6741466.0
6125,90,0,1,1,2,2012,1,1,6423,846,0,615143.2
71833,37,0,1,2,5,2013,0,0,3772,580,1,7185318.3
20811,98,1,1,1,4,1995,0,1,112,586,0,2090690.5
7643,98,0,0,2,3,1999,1,0,2142,983,1,765618.9
16669,95,1,1,4,3,2007,0,1,6109,239,1,1676719.7
84006,73,1,1,4,7,2000,1,0,9698,837,0,8409827.0
34059,49,0,0,4,8,1993,0,1,4138,347,0,3412619.3
36131,95,0,0,8,8,1991,1,0,1046,331,0,3620939.1
8201,18,1,1,7,2,2007,0,0,4949,185,1,826967.7
38398,84,0,0,6,8,1994,1,0,1618,404,0,3842545.4
38833,10,0,0,4,3,2014,1,1,1828,462,1,3884619.4
41488,22,0,0,9,1,2013,0,1,2090,650,0,4151539.3
5205,2,0,0,7,3,2005,0,0,8342,742,0,521650.5
45066,28,0,0,9,5,2013,0,0,7092,924,1,4508367.3
63875,53,1,1,7,3,1999,1,0,4139,152,0,6394774.9
25052,88,0,0,8,6,2020,0,1,718,703,0,2515214.0
51457,64,0,1,3,10,2016,0,0,3016,633,1,5150600.6
84396,64,0,0,6,7,2015,1,1,7416,593,1,8449333.5
64920,98,0,1,8,8,2016,1,0,2287,426,1,6501809.6
9166,4,1,0,4,1,2015,1,1,6838,842,1,922847.5
85558,48,1,0,2,9,2017,0,1,7997,374,1,8568781.7
87267,75,1,0,6,10,2019,0,0,6899,666,1,8731940.9
96091,100,0,1,10,3,1999,0,0,6546,373,0,9615021.9
38003,98,1,0,8,10,2008,0,0,9981,129,0,3803545.8
83120,97,0,1,6,6,2015,0,1,15,481,0,8318749.5
20468,100,1,0,6,4,2003,0,1,9659,802,0,2049846.3
75152,91,1,0,3,3,2018,1,0,4717,412,0,7518709.8
32688,9,1,1,6,5,2013,0,1,9089,398,1,3274057.3
45868,72,1,1,5,7,1994,1,1,7668,216,0,4600708.4
73900,69,0,1,4,3,2018,0,0,9847,140,1,7394635.8
16000,41,1,1,9,4,2007,0,1,7228,138,0,1606948.7
1423,59,0,1,8,4,1993,1,1,3900,879,0,149234.3
29951,37,1,1,6,8,1995,1,1,5692,762,0,3002371.5
40231,84,0,1,4,5,1999,0,0,5700,758,1,4030226.9
59517,38,1,0,8,8,2003,1,0,6831,727,1,5958698.3
98969,26,1,0,10,8,2003,0,0,3744,992,1,9902968.3
99177,49,0,0,6,10,2021,1,1,6326,429,1,9919217.1
89157,46,0,0,3,6,2009,0,1,3510,290,1,8920282.9
67429,60,0,1,8,7,1991,1,0,3578,858,1,6749654.1
38431,57,1,0,9,3,2020,1,0,4121,374,0,3848467.0
72495,76,1,1,8,10,1994,1,0,3413,254,1,7259025.4
85362,77,1,0,6,5,1997,0,0,7728,186,1,8541211.7
28597,93,0,0,3,9,1990,0,0,4492,714,0,2863386.0
13687,36,1,1,3,5,2001,1,1,4148,590,0,1376329.1
50479,3,0,1,5,9,2020,0,0,4149,188,0,5057657.0
98121,38,0,1,7,4,1995,0,1,6028,275,0,9817494.5
57736,16,0,0,9,6,1999,0,1,6099,588,0,5775940.9
30356,40,0,0,7,1,1992,0,0,7660,551,0,3039209.2
21141,38,0,1,10,3,1998,1,1,169,697,1,2126023.8
98122,34,0,0,7,4,2009,0,1,7125,186,1,9813433.9
34746,12,1,0,10,5,2000,0,0,2840,377,0,3478332.0
17297,43,1,1,7,5,2012,1,1,3216,243,1,1738971.2
80324,47,1,1,3,2,1993,1,1,325,109,0,8039714.3
15815,13,1,1,7,1,2019,1,0,637,552,0,1585031.9
1066,5,1,1,4,9,2017,0,1,2723,524,1,114605.7
79275,95,0,1,5,9,1995,0,1,3689,132,1,7930383.5
20658,7,1,1,4,10,1997,0,0,8080,341,1,2076936.7
8687,88,0,1,3,6,1993,1,1,7414,710,1,877525.3
69638,42,1,1,1,2,1991,1,0,4703,937,1,6977654.1
94036,18,0,0,10,9,2001,1,1,5913,986,0,9406163.1
60889,72,0,0,6,8,2018,1,0,7437,131,0,6091341.8
11680,21,0,0,10,1,1992,1,0,7478,921,1,1169431.2
11458,96,1,1,9,5,2010,1,0,1365,321,0,1154040.0
20397,67,0,0,8,7,1997,0,0,705,898,1,2042985.7
83206,34,1,0,9,9,1999,1,0,9170,327,0,8326302.9
8951,11,1,0,1,10,1997,1,0,6189,626,0,904889.7
22854,41,1,0,4,7,2001,0,1,6216,481,1,2292467.1
46042,52,0,0,9,8,2015,1,0,65,946,0,4605791.5
93506,20,1,0,8,9,2017,1,0,5297,306,1,9356982.7
58748,76,0,0,2,5,2010,0,1,1627,639,0,5875981.0
715,71,0,0,7,3,2010,0,1,8609,740,1,74252.0
55327,22,1,0,1,2,1993,1,1,7163,504,1,5540589.3
63631,84,1,0,6,10,2000,0,0,239,411,1,6369055.0
77915,99,0,0,5,10,2018,0,1,1081,448,0,7793915.8
91804,5,0,0,3,9,1999,0,1,8554,930,1,9182083.9
57295,95,0,0,2,2,1994,1,1,9771,951,1,5731510.4
61057,65,1,0,9,8,1998,1,0,9762,369,1,6114671.8
91626,83,1,0,4,5,1991,1,1,2684,101,1,9169068.1
29356,96,1,1,4,9,1990,1,1,1780,413,1,2948071.0
27134,62,1,0,7,7,2003,0,0,3718,357,1,2715604.3
1682,65,1,0,2,3,2017,0,1,2590,659,1,174918.7
98868,41,0,1,7,3,2021,1,1,2146,623,1,9892300.1
23898,62,1,0,9,9,1996,0,1,8256,136,0,2399286.6
83110,43,1,0,7,10,2001,1,0,4108,380,1,8321631.1
71154,67,0,1,2,6,2021,1,1,8418,706,0,7122699.1
90841,48,1,0,6,5,2003,0,0,3333,842,0,9086177.3
68416,87,1,0,8,7,2010,0,0,1811,424,0,6846709.0
47585,95,0,0,5,1,1993,1,1,5101,639,0,4759724.3
28452,79,1,0,4,10,2006,1,1,388,566,1,2850377.6
15630,78,1,0,7,3,1996,1,0,7084,225,1,1565985.6
65900,36,1,1,1,5,2017,0,1,2637,452,0,6605894.7
21600,94,1,0,10,8,2000,0,1,3129,236,1,2166421.0
74704,31,0,0,1,9,1992,1,0,7463,347,0,7472587.2
87291,78,1,1,3,3,2017,0,1,6214,596,1,8739254.7
96687,65,0,1,4,4,2012,0,1,2438,695,1,9673884.2
60567,65,1,1,7,6,2019,1,0,7010,993,1,6071330.9
4872,41,0,0,9,6,1990,1,0,5851,473,0,489455.0
9157,48,1,0,4,10,2009,0,0,6401,488,0,922102.9
65217,26,1,1,6,8,2019,0,1,1374,804,0,6531999.9
87346,56,1,1,9,9,1990,0,1,5792,947,1,8743241.0
47701,26,1,0,3,5,2001,1,0,5447,610,0,4773352.1
14766,50,0,1,8,1,2001,0,0,8031,643,0,1488265.1
94841,19,1,1,3,5,1998,1,1,3157,585,1,9498026.8
59318,92,0,0,9,8,2002,0,0,9413,425,1,5939275.2
1796,28,0,0,1,1,1997,0,1,8360,142,0,180265.7
96526,36,1,1,5,2,2020,0,1,2131,680,1,9661068.0
62876,36,0,0,4,8,2006,0,0,338,740,1,6288117.6
59558,43,1,1,4,3,2012,0,0,9174,712,1,5967916.2
97008,89,0,1,9,5,2014,1,1,8321,369,1,9703551.4
66746,6,1,0,7,3,1997,0,0,1567,378,1,6678869.7
25776,36,0,0,5,9,2002,0,0,688,954,1,2582235.2
96195,97,0,1,7,4,2018,1,1,3874,892,0,9626665.8
4805,47,1,1,5,5,1995,0,1,2788,839,1,486824.5
23045,21,1,0,5,5,1990,0,1,651,607,0,2312202.0
95441,70,0,1,6,10,2017,1,1,2841,404,1,9554998.7
28381,34,1,0,6,2,2009,1,0,6737,502,1,2847241.9
15731,34,1,1,5,2,2003,0,1,7361,277,0,1582940.3
18966,58,1,0,10,4,2019,1,1,2327,823,0,1902151.9
24393,46,1,1,4,8,2019,0,0,4080,619,1,2449464.9
53339,67,0,0,4,1,2013,1,0,368,312,0,5335546.3
44053,17,1,0,9,3,2004,1,0,6586,258,0,4413295.4
70898,98,0,0,6,1,1994,0,0,4848,942,1,7091863.4
84483,41,1,0,10,3,2019,1,0,6052,651,1,8452134.9
35716,24,1,0,4,2,2013,1,1,8821,991,0,3574932.3
64693,64,0,0,10,9,2013,0,0,7506,687,0,6471378.3
32593,40,1,0,2,9,2006,0,0,2261,871,1,3265750.6
1607,63,1,1,10,8,2020,1,0,2844,878,0,173112.0
39484,74,0,1,6,4,1991,1,0,3172,172,1,3954971.1
32458,28,1,1,1,3,2015,0,0,8462,523,1,3253846.5
72243,64,0,1,2,1,2004,1,1,4431,752,1,7229477.4
20624,44,1,0,10,2,1996,0,0,318,606,0,2070369.6
7443,38,1,0,8,8,2005,0,0,3249,503,0,748338.5
78382,41,0,0,7,1,2020,1,1,8751,985,1,7840062.0
70614,15,1,1,10,5,2010,1,1,4845,991,0,7075926.0
32235,59,1,0,2,6,2016,1,0,7388,488,0,3225143.6
2523,12,1,1,3,10,2015,1,1,150,949,1,260710.5
87864,55,0,0,8,4,2019,1,1,7834,745,0,8790481.9
18316,97,0,0,10,5,1991,1,0,5804,846,1,1832673.1
94471,30,1,1,6,1,2011,0,1,1327,285,0,9454072.1
60704,96,1,1,1,10,2004,0,0,4505,847,1,6080655.4
54020,4,1,0,1,3,2013,0,0,8767,882,1,5406334.3
59612,37,1,0,10,7,2017,1,1,5616,914,1,5967739.7
56467,63,0,0,3,2,1990,1,0,2743,815,0,5649094.0
65625,55,0,1,2,10,2015,0,1,774,958,1,6567597.5
41570,76,0,1,10,4,2014,1,1,3573,486,1,4167932.4
44862,99,0,1,7,5,1992,0,0,9383,631,0,4493882.2
47212,37,1,1,7,4,2001,0,0,7210,159,0,4734236.1
2840,17,1,0,4,4,2004,1,0,6848,294,1,288797.4
40465,85,0,0,4,9,2004,0,0,6327,403,1,4052600.4
17191,80,1,1,2,5,1995,1,0,3192,716,1,1728829.5
56480,85,1,0,8,3,2016,0,0,8211,532,0,5653048.6
70503,78,0,0,2,6,2021,1,0,6819,948,0,7051701.1
4885,100,0,0,7,8,1993,0,0,9519,718,0,493693.3
58263,65,1,1,9,10,2006,0,1,7942,786,1,5840294.6
47647,52,0,1,10,2,2002,1,1,3220,171,1,4768169.2
57916,51,0,0,8,1,1998,0,1,3831,356,1,5792783.8
6396,71,0,0,6,6,2005,1,0,413,682,0,643620.5
41972,18,0,1,7,7,1995,1,0,842,846,0,4206464.5
94311,11,1,0,8,1,2007,0,1,3619,868,0,9439790.7
10714,41,0,1,5,6,1996,0,1,2598,631,1,1075982.6
11259,26,0,1,10,4,2010,1,0,902,125,1,1134964.0
3534,16,1,1,4,1,2003,0,1,5811,900,0,359850.3
52680,10,0,1,6,4,1991,0,1,5687,242,0,5274696.1
62711,60,0,0,8,10,2007,0,1,4484,329,0,6272944.7
19268,12,1,0,3,5,2010,1,0,1133,357,1,1938014.0
36119,39,1,0,7,4,2019,0,1,3958,889,1,3620813.9
28394,53,0,0,8,8,2003,0,1,63,328,0,2840816.3
20392,33,1,0,10,5,2007,0,1,1256,171,1,2046763.7
7259,25,1,1,1,4,2014,0,0,6482,537,0,735079.4
28183,81,0,0,5,2,1993,1,1,2798,525,1,2821593.3
92188,14,0,1,10,2,1996,1,1,61,693,0,9227140.6
29815,28,0,0,9,7,1995,0,1,3530,663,0,2989048.5
50219,96,1,0,9,6,2003,0,1,8051,965,1,5025975.3
1722,56,0,1,8,8,2002,1,0,6240,497,1,182838.2
70399,14,0,1,6,5,2013,0,1,8009,255,0,7048784.3
28790,52,1,0,7,6,2021,1,1,1238,218,0,2883447.1
92962,7,1,1,5,1,2000,1,0,6581,315,0,9304587.0
34245,2,1,0,4,4,2010,1,1,251,918,1,3430728.0
54677,64,1,1,2,10,1996,1,0,1236,537,1,5477618.6
74227,84,1,0,7,7,2000,1,0,4609,378,0,7427853.0
94939,46,1,1,9,10,2009,1,0,9164,351,1,9503765.9
48884,58,1,0,1,7,2010,1,0,311,729,0,4895277.0
10638,39,0,0,5,4,2016,0,1,3142,138,1,1066200.6
90315,61,1,1,7,7,1994,1,1,5604,490,1,9044477.4
17633,28,0,0,6,2,2013,1,0,1644,162,1,1767487.3
63242,45,0,1,4,10,2017,0,1,6932,340,1,6327623.7
79344,46,1,1,2,3,1991,1,0,8088,744,1,7945562.1
72093,48,0,1,8,1,2005,1,0,4805,148,0,7223902.5
13378,59,1,0,1,1,2001,1,1,8171,488,0,1342476.1
47019,35,0,1,8,4,2020,0,0,2005,694,1,4706162.0
34666,75,1,1,5,2,2002,1,1,9405,186,1,3477313.2
93509,28,1,1,6,2,1992,1,1,72,731,1,9361261.2
13583,42,1,0,7,2,2015,1,1,4519,911,0,1364589.5
19649,11,0,1,4,4,1999,1,0,595,795,1,1970018.9
141,16,0,1,5,4,1997,1,0,3411,213,0,22670.7
22821,64,1,1,9,8,1993,1,1,2060,491,1,2289134.3
533,76,1,1,6,8,2021,1,1,654,301,0,65465.1
67020,71,1,1,4,7,2015,0,0,3647,640,0,6711051.5
49094,30,1,0,9,2,2021,0,1,4934,625,1,4916616.1
25269,88,0,0,6,7,2019,1,1,3464,693,1,2530193.9
71989,41,0,0,2,3,2003,0,0,7290,337,1,7204744.3
73180,1,1,1,9,7,2011,0,0,3340,784,1,7325717.1
18926,58,1,1,6,4,1998,1,0,5353,442,1,1908217.8
6492,76,0,0,10,3,2018,1,0,2655,372,0,652565.8
98045,4,1,1,4,5,2002,0,0,9321,570,1,9814193.2
51589,83,0,1,6,10,1998,1,0,7867,819,1,5167451.8
24390,75,1,0,10,9,1992,0,0,7295,235,0,2446317.2
75890,10,0,1,9,5,2001,0,1,270,744,0,7597786.1
29220,9,0,1,7,6,1994,1,0,391,706,0,2929116.4
72433,57,1,1,7,7,2001,0,0,6995,276,1,7250644.1
57467,98,0,0,7,3,1993,0,0,661,600,1,5749361.3
81482,76,1,0,1,7,1997,0,0,2265,281,0,8153070.7
61346,69,0,1,7,10,2009,0,1,7427,207,1,6141452.9
80915,23,1,1,9,6,1992,1,1,5351,569,0,8104297.2
65479,74,0,1,10,5,2000,0,1,9347,460,0,6552454.0
48302,22,1,0,2,9,2017,0,0,9855,543,1,4833604.7
76690,21,1,1,1,1,1990,1,1,611,181,1,7682267.0
14447,39,0,1,6,8,2002,0,0,5371,965,0,1448447.2
24213,31,1,1,1,7,1994,1,0,1561,653,0,2431969.4
1843,30,1,1,4,7,2007,1,1,1313,706,0,189919.7
78183,65,1,1,7,9,2007,0,1,8682,748,1,7829898.7
99323,35,0,1,6,7,2018,0,0,6346,280,1,9939399.8
67491,21,0,0,6,7,2007,1,0,1253,254,1,6750826.7
2588,82,1,0,1,5,2016,0,0,7247,987,0,267798.6
76635,6,1,1,2,5,1999,0,0,981,949,1,7669791.9
45070,100,0,0,9,9,1997,1,0,1333,885,1,4510977.7
62381,58,1,0,1,4,2003,1,0,1809,734,1,6243323.3
98543,2,1,0,1,3,1992,0,1,2955,661,0,9860222.2
13972,39,0,0,2,2,2009,0,0,1477,952,1,1397748.9
71567,70,0,1,10,8,1992,0,0,5968,985,0,7166917.2
36804,99,0,0,2,8,1996,0,0,6951,594,1,3681839.6
21297,71,1,1,2,3,1995,1,1,8198,111,0,2136801.5
9950,1,1,0,5,10,2012,0,1,3156,174,0,1000736.2
3661,50,1,1,3,8,2007,1,0,6186,613,0,372556.7
88102,51,1,0,8,3,2016,1,0,7245,496,1,8821018.6
72596,91,0,0,7,6,2015,1,0,9595,156,1,7262781.5
70763,4,1,0,10,4,2015,1,0,7098,484,0,7082373.5
12002,58,0,0,8,8,1995,1,0,1718,867,1,1203664.5
26146,34,0,1,7,9,2011,1,1,2060,680,1,2627462.1
13716,62,0,1,6,8,1990,0,1,5967,911,0,1382883.0
23281,32,1,1,9,10,2020,1,1,3681,422,1,2339782.0
3824,45,1,1,5,6,2019,0,1,3191,305,0,386574.9
56086,3,1,0,6,2,2021,0,1,2853,863,0,5615576.1
19014,67,1,0,8,2,1999,0,0,3330,550,0,1912984.9
80808,59,1,0,7,5,2004,0,0,3879,434,0,8085990.4
83602,5,0,1,9,7,1991,1,0,8993,496,1,8365162.1
99767,27,0,1,2,8,2018,1,0,520,495,1,9985836.8
60675,32,1,0,9,7,2002,1,0,5953,260,0,6075733.2
20210,2,1,0,1,8,2007,1,0,2811,218,0,2029228.7
28694,82,0,0,2,3,1991,1,1,3206,310,1,2870499.1
45521,53,0,0,9,9,1991,1,1,8643,670,0,4554205.1
55727,46,0,0,5,5,2016,0,0,5811,183,0,5574845.6
17307,20,1,0,5,8,2006,1,1,2317,692,0,1740869.6
86474,98,0,0,1,6,2004,0,0,1928,220,0,8649993.4
6012,53,1,0,8,7,2013,1,0,392,423,0,607323.3
6617,51,0,0,10,4,2010,1,1,7115,248,0,663333.0
34061,43,0,0,3,1,1993,0,0,1616,534,1,3407529.3
12881,12,1,0,10,5,2006,0,1,8654,920,1,1293712.6
48458,82,1,0,3,6,2002,1,1,5447,308,0,4851198.2
89618,49,1,0,1,6,2006,0,1,4321,752,1,8969519.6
10369,30,1,0,8,10,1999,0,0,9629,383,0,1044857.9
21865,24,0,1,10,5,1993,0,0,2324,932,1,2191960.3
30817,48,0,0,9,3,2013,0,0,2444,961,1,3086005.3
8808,85,1,0,5,10,1998,1,1,9287,416,0,888730.8
16006,69,1,1,7,10,1990,1,0,3565,405,1,1610901.0
